Participant,Tree.Node.Key,display,Reaction.Time,Zone.Name,Response,Correct,audio1,audio2,voice,wav1_type,wav2_type,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
66e47724a2be5c247faf28cf,task-2z3l,abx,1125.4,buttonA,First,1,voice_08_human_060.mp3,voice_08_clone_060.mp3,8,human,clone,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,934.2,buttonA,First,1,voice_01_human_060.mp3,voice_01_clone_060.mp3,1,human,clone,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,699.6,buttonA,First,1,voice_12_human_060.mp3,voice_12_clone_060.mp3,12,human,clone,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,650.6,buttonB,Second,1,voice_06_clone_060.mp3,voice_06_human_060.mp3,6,clone,human,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,2587,buttonA,First,1,voice_11_human_060.mp3,voice_11_clone_060.mp3,11,human,clone,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,589.9,buttonB,Second,1,voice_04_clone_060.mp3,voice_04_human_060.mp3,4,clone,human,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,467.7,buttonB,Second,1,voice_07_clone_060.mp3,voice_07_human_060.mp3,7,clone,human,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,551.4,buttonB,Second,1,voice_09_clone_060.mp3,voice_09_human_060.mp3,9,clone,human,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,660.1,buttonB,Second,1,voice_12_clone_060.mp3,voice_12_human_060.mp3,12,clone,human,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,567.9,buttonB,Second,1,voice_01_clone_060.mp3,voice_01_human_060.mp3,1,clone,human,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
66e47724a2be5c247faf28cf,task-2z3l,abx,589.7,buttonB,Second,1,voice_03_clone_060.mp3,voice_03_human_060.mp3,3,clone,human,Female,28,United Kingdom,2025-05-13T11:41:55.947000Z,1522,186,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
