Type,Noise,Voice,SentenceID,Participant,StimulusID,Tree.Node.Key,IntelligibilityTask,Sex,Age,BirthCountry,Date,,Approvals,Location,,,,Reaction.Time,EventCode,ANSWER,Response,WordsCorrect,Accuracy,TimeTaken
clone,-6dB,7,68,63e51e9a9457c003c4d44c9e,voice_07_clone_068_-6dB.mp3,task-2t53,Task04,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,6102.1,54,he crawled with care along the ledge,we bought a carer along a nation,1,0.2,1453
clone,-3dB,11,58,674547704d6adcc40d2874a5,voice_11_clone_058_-3dB.mp3,task-mc6j,Task10,Female,19,United Kingdom,2025-02-03T18:28:25.096000Z,,77,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,8118,75,men think and plan and sometimes act,men think plan and sometimes act,5,1,1542
clone,-3dB,12,49,674547704d6adcc40d2874a5,voice_12_clone_049_-3dB.mp3,task-mc6j,Task10,Female,19,United Kingdom,2025-02-03T18:28:25.096000Z,,77,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,9118,76,the houses are built of red clay bricks,the houses are built of red clay bricks,5,1,1542
clone,3dB,3,40,6786d7a40dccb69b974eaaf8,voice_03_clone_040_3dB.mp3,task-tk4x,Task39,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,,41,"London, England ",,,,11503,36,a blue crane is a tall wading bird,the blue crane is a tall wading bird,5,1,2683
clone,3dB,1,40,67628c956106c1752ccacb35,voice_01_clone_040_3dB.mp3,task-4yg1,Task40,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",,,,10521.1,104,a blue crane is a tall wading bird,a blue crane is a tall wading bird,5,1,1928
clone,3dB,12,40,675cca3a27cd0a6fc7c16a9a,voice_12_clone_040_3dB.mp3,task-6oo8,Task31,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,25004.8,172,a blue crane is a tall wading bird,the blue crane is a tall wading bird,5,1,1488
clone,3dB,6,40,66a773d4190ba4a8ec71d766,voice_06_clone_040_3dB.mp3,task-x2qy,Task37,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,,169,"London, England ",,,,7383.9,288,a blue crane is a tall wading bird,a blue crane is a tall wading bird,5,1,1218
clone,3dB,4,40,667d95b8b25237ac4e75dfc7,voice_04_clone_040_3dB.mp3,task-lcuh,Task38,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,6359.7,374,a blue crane is a tall wading bird,a blue crane is a tall wading bird,5,1,1571
clone,3dB,11,40,6728b1f4fe2f3ae23c9c086e,voice_11_clone_040_3dB.mp3,task-a44t,Task32,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,10523.2,451,a blue crane is a tall wading bird,a blue crane is a tall wading bird,5,1,1578
clone,3dB,9,40,668aa1000b1af4158ed5f71b,voice_09_clone_040_3dB.mp3,task-s2xz,Task34,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,,108,Wales,,,,16794,673,a blue crane is a tall wading bird,A blue crane is a tall wadeing bird,5,1,1163
