Nr,Event,Participant,TaskID,Reaction.Time,Audio,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Voice,Type,SentenceID,Noise,SubjectNr,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location,IntelligibilityTask
98,27,674547704d6adcc40d2874a5,task-mc6j,10271,voice_04_human_002_3dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,strike,NA,0,6,clone,2,-6dB,NA,Female,19,United Kingdom,2025-02-03T18:28:25.096000Z,1542,77,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task10
1960,430,67660267ee75be78076712d5,task-6xu5,16243.4,voice_01_human_040_3dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,ukraine is between edinburgh,NA,0,1,human,40,0dB,NA,Female,34,United Kingdom,2025-02-03T16:26:18.857000Z,2763,30,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task30
2353,77,5b3016a9a8327d0001ffef94,task-obom,7303.1,voice_06_clone_049_-3dB.mp3,the houses are built of red clay bricks,houses,built,red,clay,bricks,the houses are built of red clay bricks,5,1,12,clone,49,-3dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
1,39,6786d7a40dccb69b974eaaf8,task-tk4x,6567.2,voice_04_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,7,clone,1,-6dB,NA,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,2683,41,"London, England ",Task39
2,87,67628c956106c1752ccacb35,task-4yg1,14574.9,voice_03_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,8,human,1,3dB,NA,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,1928,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Task40
3,200,675cca3a27cd0a6fc7c16a9a,task-6oo8,6714.4,voice_01_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,4,clone,1,3dB,NA,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,1488,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task31
4,260,66a773d4190ba4a8ec71d766,task-x2qy,8959,voice_07_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,10,human,1,3dB,NA,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,1218,169,"London, England ",Task37
5,336,667d95b8b25237ac4e75dfc7,task-lcuh,6254.3,voice_06_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls ,5,1,9,human,1,3dB,NA,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,1571,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task38
6,426,6728b1f4fe2f3ae23c9c086e,task-a44t,4158.8,voice_12_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,1,clone,1,3dB,NA,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,1578,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task32
7,527,66d78e09da443c5b0f3fda98,task-zpav,9000.3,voice_11_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,Rice is often served in round bowls,5,1,7,clone,1,3dB,NA,Male,26,United Kingdom,2025-02-01T13:38:08.573000Z,1696,112,"London, England ",Task33
9,704,668aa1000b1af4158ed5f71b,task-s2xz,7147,voice_10_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,7,clone,1,3dB,NA,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,1163,108,Wales,Task34
10,761,6772052b4d23a9043a01c294,task-plll,6519,voice_09_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,4,human,1,3dB,NA,Male,20,United Kingdom,2025-02-01T12:32:12.781000Z,1187,32,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task35
11,19,5c1a371c03554a000119aaf7,task-v562,3935.6,voice_09_human_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,11,human,1,3dB,NA,Female,28,United Kingdom,2025-01-31T12:18:42.602000Z,1943,109,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task26
12,24,65081e92ed65d2d467efc9c2,task-zh25,14728.9,voice_06_human_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,Rice is often served in round bowls.,5,1,12,clone,1,3dB,NA,Male,25,United Kingdom,2025-01-31T14:56:08.341000Z,2111,29,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task28
