,Trial,Participant,Tree.Node.Key,display,Response,Voice,Type,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
1,101,67a96562e2b052e6c15ed963,task-haoh,accent,3,12,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
2,102,67a96562e2b052e6c15ed963,task-haoh,accent,2,1,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
3,103,67a96562e2b052e6c15ed963,task-haoh,accent,2,10,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
4,104,67a96562e2b052e6c15ed963,task-haoh,accent,1,3,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
5,105,67a96562e2b052e6c15ed963,task-haoh,accent,1,10,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
6,106,67a96562e2b052e6c15ed963,task-haoh,accent,4,11,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
7,107,67a96562e2b052e6c15ed963,task-haoh,accent,2,4,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
8,108,67a96562e2b052e6c15ed963,task-haoh,accent,1,3,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
9,109,67a96562e2b052e6c15ed963,task-haoh,accent,5,8,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
10,110,67a96562e2b052e6c15ed963,task-haoh,accent,3,4,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
11,111,67a96562e2b052e6c15ed963,task-haoh,accent,2,9,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
12,112,67a96562e2b052e6c15ed963,task-haoh,accent,4,1,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
13,113,67a96562e2b052e6c15ed963,task-haoh,accent,6,12,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
14,114,67a96562e2b052e6c15ed963,task-haoh,accent,4,6,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
15,115,67a96562e2b052e6c15ed963,task-haoh,accent,1,4,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
16,116,67a96562e2b052e6c15ed963,task-haoh,accent,5,10,human,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
17,117,67a96562e2b052e6c15ed963,task-haoh,accent,1,6,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
18,118,67a96562e2b052e6c15ed963,task-haoh,accent,5,7,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
19,119,67a96562e2b052e6c15ed963,task-haoh,accent,5,8,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
20,120,67a96562e2b052e6c15ed963,task-haoh,accent,3,12,clone,Male,33,United Kingdom,2025-05-27T07:54:00.820000Z,62189,44,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
21,161,5a50e60dacc75b000179bb4c,task-haoh,accent,1,4,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
22,162,5a50e60dacc75b000179bb4c,task-haoh,accent,1,1,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
23,163,5a50e60dacc75b000179bb4c,task-haoh,accent,2,11,human,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
24,164,5a50e60dacc75b000179bb4c,task-haoh,accent,3,12,human,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
25,165,5a50e60dacc75b000179bb4c,task-haoh,accent,4,9,human,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
26,166,5a50e60dacc75b000179bb4c,task-haoh,accent,1,3,clone,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
