Nr,Event,Participant,TaskID,Reaction.Time,Audio,Voice,Type,Sentence,Noise,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
4,668,5a50e60dacc75b000179bb4c,task-6cvi,4907.4,voice_03_clone_020_0dB.mp3,3,clone,20,0dB,thieves who rob friends deserve jail,thieves,rob,friends,deserve,jail,thieves who rob friends deserve jail,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
9,673,5a50e60dacc75b000179bb4c,task-6cvi,6295.3,voice_01_clone_029_-3dB.mp3,1,clone,29,-3dB,the sofa cushion is red and of light weight,sofa,cushion,red,light,weight,the sofa cushion is red and light weight,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
11,675,5a50e60dacc75b000179bb4c,task-6cvi,4552.5,voice_04_clone_011_0dB.mp3,4,clone,11,0dB,a tame squirrel makes a nice pet,tame,squirrel,makes,nice,pet,a tame squirrel makes a nice pet,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
17,681,5a50e60dacc75b000179bb4c,task-6cvi,4275.1,voice_12_clone_018_0dB.mp3,12,clone,18,0dB,open the crate but don't break the glass,open,crate,don't,break,glass,open the crate but don't break the glass,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
18,682,5a50e60dacc75b000179bb4c,task-6cvi,5633.1,voice_06_clone_032_-3dB.mp3,6,clone,32,-3dB,there was a sound of dry leaves outside,there,sound,dry,leaves,outside,there was the sound of dry leaves outside,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
21,685,5a50e60dacc75b000179bb4c,task-6cvi,4620.1,voice_12_clone_008_0dB.mp3,12,clone,8,0dB,the wide road shimmered in the hot sun,wide,road,shimmered,hot,sun,the wide road shimmered in the hot sun,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
23,687,5a50e60dacc75b000179bb4c,task-6cvi,8219.7,voice_01_clone_019_0dB.mp3,1,clone,19,0dB,add the sum to the product of these three,add,sum,product,these,three,add the sum to the product of these three,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
24,688,5a50e60dacc75b000179bb4c,task-6cvi,5146.6,voice_03_clone_040_-3dB.mp3,3,clone,40,-3dB,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,blue crane is a tall wading bird,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
25,689,5a50e60dacc75b000179bb4c,task-6cvi,4015.4,voice_11_clone_017_0dB.mp3,11,clone,17,0dB,the bill was paid every third week,bill,paid,every,third,week,the bill was paid every third week,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
30,694,5a50e60dacc75b000179bb4c,task-6cvi,4545.4,voice_07_clone_003_0dB.mp3,7,clone,3,0dB,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
